frame_file,ts_ms,ts_us,key_events
frame_000113.png,1765871416651.000,1765871416651000,
frame_000114.png,1765871416677.000,1765871416677000,
frame_000115.png,1765871416714.000,1765871416714000,
frame_000116.png,1765871416751.000,1765871416751000,
frame_000117.png,1765871416781.000,1765871416781000,
frame_000118.png,1765871416808.000,1765871416808000,
frame_000119.png,1765871416848.000,1765871416848000,
frame_000120.png,1765871416875.000,1765871416875000,
frame_000121.png,1765871416915.000,1765871416915000,
frame_000122.png,1765871416942.000,1765871416942000,
frame_000123.png,1765871416983.000,1765871416983000,
frame_000124.png,1765871417012.000,1765871417012000,
frame_000125.png,1765871417042.000,1765871417042000,
frame_000126.png,1765871417080.000,1765871417080000,
frame_000127.png,1765871417111.000,1765871417111000,
frame_000128.png,1765871417192.000,1765871417192000,
frame_000129.png,1765871417218.000,1765871417218000,
frame_000130.png,1765871417251.000,1765871417251000,
frame_000131.png,1765871417301.000,1765871417301000,
frame_000132.png,1765871417337.000,1765871417337000,
frame_000133.png,1765871417368.000,1765871417368000,
frame_000134.png,1765871417396.000,1765871417396000,
frame_000135.png,1765871417424.000,1765871417424000,
frame_000136.png,1765871417449.000,1765871417449000,
frame_000137.png,1765871417472.000,1765871417472000,
frame_000138.png,1765871417495.000,1765871417495000,1765871418192856:down:Key.cmd
frame_000139.png,1765871418123.000,1765871418123000,1765871418329187:down:Key.tab
frame_000140.png,1765871418148.000,1765871418148000,
frame_000141.png,1765871418308.000,1765871418308000,
frame_000142.png,1765871418481.000,1765871418481000,1765871419024614:down:Key.ctrl
frame_000143.png,1765871418506.000,1765871418506000,1765871419062138:down:c
frame_000144.png,1765871418544.000,1765871418544000,
frame_000145.png,1765871418570.000,1765871418570000,
frame_000146.png,1765871418610.000,1765871418610000,
frame_000147.png,1765871418677.000,1765871418677000,
frame_000148.png,1765871418711.000,1765871418711000,
frame_000149.png,1765871418748.000,1765871418748000,
frame_000150.png,1765871418774.000,1765871418774000,
frame_000151.png,1765871418814.000,1765871418814000,
frame_000152.png,1765871418844.000,1765871418844000,
frame_000153.png,1765871418874.000,1765871418874000,
frame_000154.png,1765871418914.000,1765871418914000,
frame_000155.png,1765871418974.000,1765871418974000,
frame_000156.png,1765871419012.000,1765871419012000,
frame_000157.png,1765871419038.000,1765871419038000,
frame_000158.png,1765871419038.000,1765871419038000,
frame_000159.png,1765871419038.000,1765871419038000,
frame_000160.png,1765871419038.000,1765871419038000,
frame_000161.png,1765871419038.000,1765871419038000,
frame_000162.png,1765871419038.000,1765871419038000,
frame_000163.png,1765871419038.000,1765871419038000,
frame_000164.png,1765871419038.000,1765871419038000,
frame_000165.png,1765871419038.000,1765871419038000,
frame_000166.png,1765871419038.000,1765871419038000,
frame_000167.png,1765871419038.000,1765871419038000,
frame_000168.png,1765871419038.000,1765871419038000,
frame_000169.png,1765871419038.000,1765871419038000,
frame_000170.png,1765871419038.000,1765871419038000,
frame_000171.png,1765871419038.000,1765871419038000,
frame_000172.png,1765871419038.000,1765871419038000,
frame_000173.png,1765871419038.000,1765871419038000,
frame_000174.png,1765871419038.000,1765871419038000,
frame_000175.png,1765871419038.000,1765871419038000,
frame_000176.png,1765871419038.000,1765871419038000,
frame_000177.png,1765871419038.000,1765871419038000,
frame_000178.png,1765871419038.000,1765871419038000,
frame_000179.png,1765871419038.000,1765871419038000,
frame_000180.png,1765871419038.000,1765871419038000,
frame_000181.png,1765871419038.000,1765871419038000,
frame_000182.png,1765871419038.000,1765871419038000,
frame_000183.png,1765871419038.000,1765871419038000,
frame_000184.png,1765871419038.000,1765871419038000,
frame_000185.png,1765871419038.000,1765871419038000,
frame_000186.png,1765871419038.000,1765871419038000,
frame_000187.png,1765871419038.000,1765871419038000,
frame_000188.png,1765871419038.000,1765871419038000,
frame_000189.png,1765871419038.000,1765871419038000,
